feature,coef
seller_state_Other,0.4312525243372108
seller_state_CE,-0.36990232854693295
seller_state_ES,0.3447998025397585
seller_state_RS,-0.3182375623141193
seller_state_MS,-0.28882387330518217
seller_state_GO,-0.27783585664678806
seller_state_SP,0.26302750511875345
top_category_sports_leisure,-0.25815754777982564
seller_state_DF,0.2564349649171083
seller_state_MT,-0.23859407791812764
top_category_bed_bath_table,0.23824245439364253
customer_state_PR,-0.2106710519796238
top_category_furniture_decor,0.18271218878485776
seller_state_BA,-0.16749417865233562
seller_state_RN,0.16744289681656283
top_category_toys,-0.16438729105166794
customer_state_BA,0.15477681162851553
customer_state_RS,-0.1535668419636885
top_category_telephony,0.15144405385272758
top_category_cool_stuff,-0.14864330084293031
