customer_state,n,diss_rate,late_rate
MA,709,0.29901269393511987,0.19322990126939352
AL,393,0.28498727735368956,0.2340966921119593
SE,331,0.27794561933534745,0.1510574018126888
PA,929,0.27771797631862216,0.11948331539289558
CE,1267,0.27308602999210735,0.15311760063141278
BA,3226,0.27154370737755734,0.13732176069435834
RJ,12172,0.2656095957936247,0.133338810384489
PI,470,0.24893617021276596,0.1595744680851064
PB,511,0.24070450097847357,0.10763209393346379
RO,242,0.23140495867768596,0.028925619834710745
ES,1966,0.2288911495422177,0.1190233977619532
GO,1939,0.22743682310469315,0.07993811242908716
PE,1573,0.22695486331849968,0.10680228862047043
SC,3510,0.2188034188034188,0.09658119658119659
MT,878,0.21298405466970388,0.06605922551252848
DF,2064,0.21075581395348839,0.07122093023255814
RN,467,0.20985010706638116,0.10706638115631692
MS,699,0.20743919885550788,0.11587982832618025
RS,5310,0.20188323917137477,0.0711864406779661
TO,273,0.20146520146520147,0.1282051282051282
MG,11251,0.200782152697538,0.05528397475779931
SP,40178,0.1857484195330778,0.05839016377121808
PR,4880,0.18422131147540985,0.04938524590163934
