,freight_sum,price_sum,freight_to_price_ratio,weight_sum,volume_sum,estimated_delivery_days,distance_km,n_items,payment_installments_max,same_state
freight_sum,1.0,0.41,0.103,0.64,0.638,0.244,0.314,0.437,0.199,-0.255
price_sum,0.41,1.0,-0.3,0.35,0.313,0.078,0.08,0.153,0.315,-0.064
freight_to_price_ratio,0.103,-0.3,1.0,-0.085,-0.071,0.127,0.198,0.068,-0.19,-0.17
weight_sum,0.64,0.35,-0.085,1.0,0.828,0.076,-0.01,0.231,0.19,0.002
volume_sum,0.638,0.313,-0.071,0.828,1.0,0.067,-0.013,0.282,0.171,0.011
estimated_delivery_days,0.244,0.078,0.127,0.076,0.067,1.0,0.523,0.015,0.093,-0.536
distance_km,0.314,0.08,0.198,-0.01,-0.013,0.523,1.0,-0.017,0.09,-0.564
n_items,0.437,0.153,0.068,0.231,0.282,0.015,-0.017,1.0,0.068,0.01
payment_installments_max,0.199,0.315,-0.19,0.19,0.171,0.093,0.09,0.068,1.0,-0.075
same_state,-0.255,-0.064,-0.17,0.002,0.011,-0.536,-0.564,0.01,-0.075,1.0
