scenario,model,roc_auc,pr_auc,recall,precision,f1,brier_score
S1_pre_broad,Dummy,0.4994,0.1988,1.0,0.199,0.3319,0.321
S1_pre_broad,LR,0.5851,0.2838,0.4898,0.2514,0.3323,0.2349
S1_pre_broad,RF,0.592,0.292,0.4003,0.2722,0.324,0.2313
S1_pre_broad,LightGBM,0.5741,0.2698,0.4281,0.2477,0.3138,0.2191
S2_in_broad,Dummy,0.4994,0.1988,1.0,0.199,0.3319,0.321
S2_in_broad,LR,0.6268,0.3235,0.4711,0.292,0.3605,0.2282
S2_in_broad,RF,0.6253,0.3175,0.3806,0.3123,0.3431,0.2262
S2_in_broad,LightGBM,0.6007,0.2998,0.4168,0.2813,0.3359,0.2085
S3_in_severe,Dummy,0.5016,0.1234,1.0,0.1231,0.2192,0.2104
S3_in_severe,LR,0.6507,0.2371,0.4654,0.205,0.2846,0.2141
S3_in_severe,RF,0.6445,0.2302,0.3901,0.2233,0.284,0.2089
S3_in_severe,LightGBM,0.6157,0.2216,0.4274,0.1901,0.2632,0.1696
