top_category,n_diss,n_fn,n_tp,fn_rate
sports_leisure,506,408,98,0.8063241106719368
toys,199,154,45,0.7738693467336684
small_appliances,39,29,10,0.7435897435897436
luggage_accessories,41,30,11,0.7317073170731707
cool_stuff,187,130,57,0.6951871657754011
home_appliances,78,53,25,0.6794871794871795
construction_tools_construction,105,69,36,0.6571428571428571
food,42,27,15,0.6428571428571429
musical_instruments,39,25,14,0.6410256410256411
consoles_games,59,37,22,0.6271186440677966
unknown,69,43,26,0.6231884057971014
construction_tools_lights,36,22,14,0.6111111111111112
electronics,204,124,80,0.6078431372549019
garden_tools,181,109,72,0.6022099447513812
baby,264,156,108,0.5909090909090909
pet_shop,146,86,60,0.589041095890411
auto,351,206,145,0.5868945868945868
stationery,120,70,50,0.5833333333333334
perfumery,159,92,67,0.5786163522012578
housewares,488,279,209,0.5717213114754098
watches_gifts,644,362,282,0.562111801242236
health_beauty,743,410,333,0.5518169582772544
audio,41,22,19,0.5365853658536586
computers_accessories,551,288,263,0.5226860254083484
fashion_bags_accessories,87,45,42,0.5172413793103449
furniture_living_room,47,24,23,0.5106382978723404
telephony,349,136,213,0.38968481375358166
home_construction,69,25,44,0.36231884057971014
art,32,11,21,0.34375
furniture_decor,474,143,331,0.30168776371308015
bed_bath_table,856,257,599,0.3002336448598131
office_furniture,146,18,128,0.1232876712328767
